symbol,date,high,low,open,price,volume,client_id,name,email,collateral_type,quantity,collateral_price,collateral_value,prev_close,price_change,collateral_fluctuation
ING,2024-02-06,126.98047072660025,116.3318865252883,126.37321359431252,126.37321359431252,10938.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,9000,9.000000810108675E7,1137358.9223488127,106.25591653945168,0.0948273782203509,1137252.6664322733
Philips,2024-02-05,108.1811905882798,76.83731240426823,102.72779421206097,102.72779421206097,11823.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,9000,9.000000720503427E7,924550.1479085487,91.4651845897349,-0.15992830770614713,924458.682723959
Adyen,2024-02-04,150.49617115178032,124.93392162811256,142.84896314201413,142.84896314201413,19981.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,9000,9.000000978364366E7,1285640.6682781272,99.65546916144386,0.2536584562731534,1285541.0128089658
NN,2024-02-03,143.3144087143629,119.94585023073927,141.62078821825006,141.62078821825006,11405.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,9000,9.000000502338955E7,1274587.0939642505,91.50035400928614,0.3108785373504267,1274495.5936102413
Philips,2024-02-02,102.58111760179244,82.26462403445767,99.46437721136535,99.46437721136535,15982.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,9000,9.000000445613934E7,895179.3949022881,94.92849932723456,-0.1334043557259067,895084.4664029608
Adyen,2024-02-01,143.2666336947004,135.46973145280583,139.32840060302493,139.32840060302493,12706.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,9000,9.000000577452418E7,1253955.6054272244,0.0,0.0,1253955.6054272244
Philips,2024-02-06,106.446057320935,80.11511764571418,101.68251685140172,101.68251685140172,12194.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,8000,8.000000844478756E7,813460.1348112137,76.83731240426823,0.04265903034453178,813383.2974988094
NN,2024-02-05,131.4831567183825,99.44876260170332,124.01070033098132,124.01070033098132,13950.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,8000,8.000000668510017E7,992085.6026478505,138.71017200740377,-0.2830463608941732,991946.8924758431
ING,2024-02-04,144.41892614251324,137.88600440188137,140.56572466010508,140.56572466010508,17264.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,8000,8.000000308904797E7,1124525.7972808406,93.89817428678147,0.46846310324153223,1124431.8991065538
Philips,2024-02-03,135.9258580292871,131.23340352983604,131.75060270049502,131.75060270049502,13940.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,8000,8.00000007403618E7,1054004.8216039601,82.26462403445767,0.595259263263236,1053922.5569799256
ING,2024-02-02,125.4622882680956,95.28854767912803,122.63491820116424,122.63491820116424,11219.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,8000,8.000000633479065E7,981079.3456093139,90.85243784291724,0.048827636787036686,980988.493171471
Shell,2024-02-01,146.54642628160386,117.61224712766118,146.33993612201806,146.33993612201806,18657.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,8000,8.000000947175014E7,1170719.4889761445,0.0,0.0,1170719.4889761445
Shell,2024-02-06,132.78426101519653,110.5475996680844,129.37226342355078,129.37226342355078,16179.0,100010,Pip RRWTAX,wrightaoikz@gmail,stock,7000,7.000000251043278E7,905605.8439648554,121.87702551844266,-0.09295784666687547,905483.966939337
